Typo Type,Typo,DNS-A,CC-A,Country-A,DNS-MX,Extn
Character Omission,facboook.com,199.59.242.150,CN,CHINA,mx76.m2bp.com,com,
Character Omission,facebook.com,31.13.69.228,IE,IRELAND,msgin.vvv.facebook.com,com,
Character Omission,facebooo.com,103.224.182.252,,park-mx.above.com,com,
Character Omission,faceboook.cm,199.59.242.150,CN,CHINA,mx76.mb1p.com,cm,
Character Omission,faceoook.com,208.73.210.202,US,UNITED STATES,,com,
Character Omission,faeboook.com,31.13.69.197,IE,IRELAND,,com,
Character Omission,fceboook.com,66.7.149.187,US,UNITED STATES,,com,
Character Repeat,faaceboook.com,,?,,com,
Character Repeat,facceboook.com,,?,,com,
Character Repeat,facebboook.com,31.13.69.197,IE,IRELAND,,com,
Character Repeat,faceboookk.com,103.224.182.214,,park-mx.above.com,com,
Character Repeat,facebooook.com,185.53.179.7,,mail.h-email.net,com,
Character Repeat,faceeboook.com,199.59.242.150,CN,CHINA,mx76.mb1p.com,com,
Character Repeat,ffaceboook.com,50.63.202.40,GB,UNITED KINGDOM,,com,
Character Swap,afceboook.com,,?,,com,
Character Swap,facbeoook.com,,?,,com,
Character Swap,facebooko.com,185.53.179.7,,mail.h-email.net,com,
Character Swap,faceobook.com,31.13.69.197,IE,IRELAND,,com,
Character Swap,faecboook.com,103.224.182.214,,park-mx.above.com,com,
Character Swap,fcaeboook.com,103.224.182.214,,park-mx.above.com,com,
Character Replacement,daceboook.com,,?,,com,
Character Replacement,facebiook.com,207.174.213.34,,,com,
Character Replacement,faceboiok.com,146.148.34.125,RU,RUSSIAN FEDERATION,mail.hope-mail.com,com,
Character Replacement,facebooik.com,31.13.69.197,IE,IRELAND,,com,
Character Replacement,faceboooj.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Replacement,faceboool.com,104.195.54.117,,,com,
Character Replacement,faceboopk.com,103.224.182.252,,park-mx.above.com,com,
Character Replacement,facebopok.com,204.11.58.194,,,com,
Character Replacement,facebpook.com,31.13.69.197,IE,IRELAND,,com,
Character Replacement,facenoook.com,104.202.189.131,,,com,
Character Replacement,facevoook.com,103.224.212.222,,park-mx.above.com,com,
Character Replacement,facrboook.com,69.162.80.51,US,UNITED STATES,,com,
Character Replacement,facwboook.com,69.162.80.55,US,UNITED STATES,,com,
Character Replacement,faveboook.com,69.162.80.52,US,UNITED STATES,,com,
Character Replacement,faxeboook.com,,?,,com,
Character Replacement,fsceboook.com,69.162.80.59,US,UNITED STATES,,com,
Character Replacement,gaceboook.com,,?,,com,
Double Character Replacement,facebiiok.com,103.224.212.222,,park-mx.above.com,com,
Double Character Replacement,faceboiik.com,,?,,com,
Double Character Replacement,faceboppk.com,,?,,com,
Double Character Replacement,facebppok.com,103.224.212.225,,park-mx.above.com,com,
Character Insertion,facebnoook.com,,?,,com,
Character Insertion,faceboiook.com,,?,,com,
Character Insertion,facebooiok.com,,?,,com,
Character Insertion,faceboooik.com,31.13.69.197,E¤,,,com,
Character Insertion,faceboookj.com,,?,,com,
Character Insertion,faceboookl.com,,?,,com,
Character Insertion,facebooopk.com,,?,,com,
Character Insertion,faceboopok.com,,?,,com,
Character Insertion,facebopook.com,,?,,com,
Character Insertion,facebvoook.com,,?,,com,
Character Insertion,facerboook.com,,?,,com,
Character Insertion,facewboook.com,72.52.179.175,US,UNITED STATES,mx156.hostedmxserver.com,com,
Character Insertion,facveboook.com,,?,,com,
Character Insertion,facxeboook.com,,?,,com,
Character Insertion,fasceboook.com,209.200.154.50,AR,ARGENTINA,,com,
Character Insertion,fdaceboook.com,,?,,com,
Character Insertion,fgaceboook.com,,?,,com,
Missing Dot,faceboookcom.com,,?,,com,
